,States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Alabama,24,96,6,6,10,12,17,9,0,
1,Alaska,9,8,6,9,7,19,13,4,8,17
2,Arizona,300,231,209,212,304,322,291,328,211,254
3,Arkansas,85,18,30,34,16,8,15,8,14,10
4,California,1331,1204,1089,1012,943,1017,1142,1270,1222,1221
5,Colorado,196,223,233,154,129,143,126,136,176,257
6,Connecticut,168,164,176,172,144,107,124,122,92,86
7,Delaware,20,21,11,13,18,11,19,30,18,27
8,District of Columbia,66,105,81,80,87,74,127,207,236,247
9,Florida,146,139,166,82,72,83,110,166,166,131
10,Georgia,19,21,21,72,50,49,46,230,41,123
11,Idaho,34,49,39,37,40,46,35,61,26,38
12,Illinois,116,89,101,123,136,101,122,94,139,95
13,Indiana,116,120,38,78,60,76,163,62,226,87
14,Iowa,23,20,8,15,12,6,21,12,16,13
15,Kansas,73,83,97,74,86,81,70,83,87,99
16,Kentucky,205,186,230,209,199,218,241,432,288,179
17,Louisiana,17,7,4,23,11,45,33,30,59,33
18,Maine,76,66,61,28,34,45,45,40,22,24
19,Maryland,82,64,45,58,18,43,40,53,52,18
20,Massachusetts,360,424,190,393,418,483,444,486,474,441
21,Michigan,372,417,718,399,354,373,459,515,495,495
22,Minnesota,140,186,83,167,117,132,165,169,159,123
23,Mississippi,11,1,19,4,1,0,10,4,5,15
24,Missouri,167,147,121,116,106,137,114,133,80,106
25,Montana,37,23,39,37,43,47,20,18,7,35
26,Nebraska,62,39,10,39,61,19,35,46,35,57
27,Nevada,76,70,113,80,29,70,49,7,37,53
28,New Hampshire,35,26,34,23,22,15,40,16,19,17
29,New Jersey,557,553,,447,347,349,308,502,577,478
30,New Mexico,25,35,4,12,13,14,36,14,34,63
31,New York,710,566,741,655,558,515,598,559,525,618
32,North Carolina,132,129,140,140,186,208,208,230,202,248
33,North Dakota,13,32,52,63,51,54,8,17,10,20
34,Ohio,295,277,296,447,474,470,508,449,390,428
35,Oklahoma,60,38,26,45,37,47,35,49,25,30
36,Oregon,161,151,64,75,38,79,122,169,139,205
37,Pennsylvania,69,60,42,110,58,71,67,93,75,50
38,Rhode Island,21,20,15,8,5,19,13,11,15,21
39,South Carolina,129,157,172,59,60,69,23,94,123,82
40,South Dakota,56,23,37,18,18,20,21,19,26,21
41,Tennessee,163,162,367,245,220,294,190,179,207,152
42,Texas,202,189,60,161,165,219,224,219,500,560
43,Utah,67,79,113,87,58,56,72,94,36,34
44,Vermont,22,9,14,13,15,8,26,36,48,37
45,Virginia,204,166,152,126,131,184,150,214,159,185
46,Washington,301,252,323,344,367,326,482,613,666,664
47,West Virginia,36,21,29,63,28,49,48,34,51,36
48,Wisconsin,108,85,91,65,62,47,42,48,59,83
49,Wyoming,2,3,2,1,0,2,4,23,0,6
