Place,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Air/bus/train terminal,70,59,75,63,68,82,94,118,113,113
Bank/savings and loan,12,13,15,11,21,12,20,25,28,21
Bar/nightclub,144,153,105,121,90,99,96,99,119,124
Camp/campground,1,2,4,2,1,3,3,3,4,8
Church/synagogue/temple,244,,,,,,,,,
Commercial office building,123,114,95,117,70,111,117,139,145,161
Construction site,11,8,12,13,10,11,19,25,20,23
Convenience store,68,79,72,69,73,94,88,105,141,127
Department/discount store,72,72,51,59,58,68,72,91,111,101
Drug store/Doctor's office/hospital,55,62,44,48,70,,,,,
Field/woods,65,52,48,53,36,31,31,50,47,61
Gambling facility/casino/race track,1,1,3,3,,3,3,3,3,2
Government/public building,106,89,66,107,96,104,111,117,163,132
Grocery/supermarket,39,59,52,53,52,48,62,75,98,99
Highway/road/alley/street,1127,,,,,,,,,
Hotel/motel/etc.,38,43,39,32,35,49,44,63,67,55
Industrial site,1,3,5,6,6,14,12,9,7,18
Jail/prison,52,,,,,,,,,
Lake/waterway,14,,,,,,,,,
Liquor store,8,10,10,8,8,14,15,11,13,26
Parking lot/garage,385,,,,,,,,,
Park/playground,2,36,53,67,70,88,98,128,106,196
Rental storage facility,5,13,5,4,3,4,9,14,12,14
Residence/home,2079,1993,1887,1865,1732,1843,1670,1971,1832,1800
Restaurant,107,115,103,126,114,125,143,192,189,214
School/college,724,,,,,,,,,
Service/gas station,59,48,39,55,62,65,72,73,91,76
Shopping mall,2,27,27,9,15,11,8,21,21,17
"Specialty store (TV, fur, etc.)",55,48,51,42,48,43,39,76,79,63
Other/unknown,950,704,743,782,654,642,777,822,800,822
