,Place,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Air/bus/train terminal,70,59,75,63,68,82,94,118,113,113
1,Bank/savings and loan,12,13,15,11,21,12,20,25,28,21
2,Bar/nightclub,144,153,105,121,90,99,96,99,119,124
3,Camp/campground,1,2,4,2,1,3,3,3,4,8
4,Church/synagogue/temple,244,,,,,,,,,
5,Commercial office building,123,114,95,117,70,111,117,139,145,161
6,Construction site,11,8,12,13,10,11,19,25,20,23
7,Convenience store,68,79,72,69,73,94,88,105,141,127
8,Department/discount store,72,72,51,59,58,68,72,91,111,101
9,Drug store/Doctor's office/hospital,55,62,44,48,70,,,,,
10,Field/woods,65,52,48,53,36,31,31,50,47,61
11,Gambling facility/casino/race track,1,1,3,3,,3,3,3,3,2
12,Government/public building,106,89,66,107,96,104,111,117,163,132
13,Grocery/supermarket,39,59,52,53,52,48,62,75,98,99
14,Highway/road/alley/street,1127,,,,,,,,,
15,Hotel/motel/etc.,38,43,39,32,35,49,44,63,67,55
16,Industrial site,1,3,5,6,6,14,12,9,7,18
17,Jail/prison,52,,,,,,,,,
18,Lake/waterway,14,,,,,,,,,
19,Liquor store,8,10,10,8,8,14,15,11,13,26
20,Parking lot/garage,385,,,,,,,,,
21,Park/playground,2,36,53,67,70,88,98,128,106,196
22,Rental storage facility,5,13,5,4,3,4,9,14,12,14
23,Residence/home,2079,1993,1887,1865,1732,1843,1670,1971,1832,1800
24,Restaurant,107,115,103,126,114,125,143,192,189,214
25,School/college,724,,,,,,,,,
26,Service/gas station,59,48,39,55,62,65,72,73,91,76
27,Shopping mall,2,27,27,9,15,11,8,21,21,17
28,"Specialty store (TV, fur, etc.)",55,48,51,42,48,43,39,76,79,63
29,Other/unknown,950,704,743,782,654,642,777,822,800,822
