Offense,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Murder and nonnegligent manslaughter,7,4,10,5,4,18,9,15,24,51
Forcible rape,4,,,,,,,,,
Aggravated assault,888,895,854,734,770,882,873,990,1026,1158
Simple assault,1681,1595,1570,1720,1514,1696,1687,1745,1895,2023
Intimidation,2231,2106,1489,1925,1745,1853,2109,2283,2560,2206
Robbery,146,131,126,126,122,120,134,157,132,125
Burglary,125,124,142,174,162,147,123,145,131,114
Larceny-theft,175,152,258,225,239,255,231,326,330,284
Motor vehicle theft,16,6,23,20,22,22,20,41,42,19
Arson,43,42,38,36,26,30,39,42,43,60
Destruction/damage/vandalism,2321,2125,1906,1783,1694,1698,1913,2325,1876,2152
